rank,player_id,player_name,team_name,competition_name,season_name,competition_id,season_id,n_pressing_events,pap_score,pap_percentile,success_rate,expected_success,avg_difficulty,top_pressure_zone
1,3441,Nikola Vlašić,Croatia,UEFA Euro,2020,55,43,112,0.11218918138061905,100.0,0.4642857142857143,0.35209653290509524,0.6479034670949048,final_third
2,40724,Florian Wirtz,Germany,UEFA Euro,2024,55,282,109,0.10375057467069242,99.3,0.5412844036697247,0.4375338289990323,0.5624661710009677,final_third
3,23650,Jeremy Doku,Belgium,UEFA Euro,2024,55,282,231,0.08898341903844441,98.7,0.45454545454545453,0.36556203550701016,0.6344379644929898,left_half_space
4,19316,Roland Sallai,Hungary,UEFA Euro,2024,55,282,104,0.08658898000901567,98.0,0.5096153846153846,0.423026404606369,0.576973595393631,final_third
5,9638,Jack Grealish,England,UEFA Euro,2020,55,43,104,0.08565419408615985,97.3,0.4807692307692308,0.39511503668307096,0.6048849633169291,final_third
6,8286,Leonardo Spinazzola,Italy,UEFA Euro,2020,55,43,105,0.08509805627964782,96.7,0.5714285714285714,0.4863305151489236,0.5136694848510763,final_third
7,5660,Piotr Zieliński,Poland,UEFA Euro,2020,55,43,189,0.08097903544504725,96.0,0.49206349206349204,0.41108445661844484,0.5889155433815552,final_third
8,24977,Christoph Baumgartner,Austria,UEFA Euro,2024,55,282,200,0.07386628738285018,95.3,0.485,0.4111337126171498,0.5888662873828502,final_third
9,21294,Mykola Shaparenko,Ukraine,UEFA Euro,2020,55,43,128,0.07270830901935996,94.7,0.515625,0.44291669098064,0.55708330901936,final_third
10,5503,Lionel Andrés Messi Cuccittini,Argentina,FIFA World Cup,2022,43,106,294,0.07231189352620088,94.0,0.47619047619047616,0.4038785826642753,0.5961214173357248,final_third
11,45190,Dan Ndoye,Switzerland,UEFA Euro,2024,55,282,110,0.07226533143592105,93.3,0.4909090909090909,0.4186437594731699,0.5813562405268301,final_third
12,3625,Sofiane Boufal,Morocco,FIFA World Cup,2022,43,106,106,0.06741083748604203,92.7,0.44339622641509435,0.3759853889290523,0.6240146110709477,final_third
13,5633,Yannick Ferreira Carrasco,Belgium,UEFA Euro,2024,55,282,107,0.06636862954922425,92.0,0.4672897196261682,0.40092109007694393,0.599078909923056,left_half_space
14,33018,Joško Gvardiol,Croatia,UEFA Euro,2020,55,43,216,0.06618168102674298,91.3,0.5185185185185185,0.45233683749177556,0.5476631625082244,final_third
15,5545,Breel-Donald Embolo,Switzerland,UEFA Euro,2020,55,43,255,0.0655841107226291,90.7,0.43529411764705883,0.36971000692442973,0.6302899930755703,final_third
16,8118,Frenkie de Jong,Netherlands,FIFA World Cup,2022,43,106,285,0.06513139680486875,90.0,0.5368421052631579,0.4717107084582891,0.5282892915417109,final_third
